transaction_id,date_time,amount,merchant_name,category,transaction_type,account_id,channel,location
TXN_001,2023-09-01T08:30:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_002,2023-09-01T12:15:00Z,45.50,ShopRite Grocery,groceries,debit,ACC_12345,card,Lagos
TXN_003,2023-09-01T18:20:00Z,25.00,Uber Ride,transport,debit,ACC_12345,app,Lagos
TXN_004,2023-09-02T07:45:00Z,8.75,Coffee Bean Cafe,entertainment,debit,ACC_12345,card,Lagos
TXN_005,2023-09-02T14:30:00Z,120.00,PHCN Electric Bill,utilities,debit,ACC_12345,app,Lagos
TXN_006,2023-09-02T19:10:00Z,200.00,Transfer to Mom,transfer,debit,ACC_12345,app,Lagos
TXN_007,2023-09-03T09:15:00Z,65.20,Genesis Deluxe Cinema,entertainment,debit,ACC_12345,card,Victoria Island
TXN_008,2023-09-03T13:45:00Z,150.00,Savings Deposit,savings,debit,ACC_12345,app,Lagos
TXN_009,2023-09-04T11:20:00Z,35.80,Total Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_010,2023-09-04T16:30:00Z,90.50,Jumia Online Shopping,shopping,debit,ACC_12345,app,Lagos
TXN_011,2023-09-05T08:00:00Z,15.25,Mr Biggs Breakfast,food,debit,ACC_12345,card,Lagos
TXN_012,2023-09-05T14:15:00Z,75.00,Pharmacy Plus,healthcare,debit,ACC_12345,card,Lagos
TXN_013,2023-09-06T10:30:00Z,500.00,Rent Payment,housing,debit,ACC_12345,app,Lagos
TXN_014,2023-09-06T17:45:00Z,28.90,Airtel Data Bundle,utilities,debit,ACC_12345,ussd,Lagos
TXN_015,2023-09-07T12:10:00Z,155.75,Palms Shopping Mall,shopping,debit,ACC_12345,card,Lagos
TXN_016,2023-09-08T09:25:00Z,42.30,KFC Fast Food,food,debit,ACC_12345,card,Lagos
TXN_017,2023-09-08T15:20:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_018,2023-09-08T20:35:00Z,80.00,Bolt Ride to Airport,transport,debit,ACC_12345,app,Lagos
TXN_019,2023-09-09T11:40:00Z,125.60,Shoprite Victoria Island,groceries,debit,ACC_12345,card,Victoria Island
TXN_020,2023-09-09T18:15:00Z,95.25,Chicken Republic,food,debit,ACC_12345,card,Victoria Island
TXN_021,2023-09-10T08:50:00Z,22.75,Starbucks Coffee,entertainment,debit,ACC_12345,card,Victoria Island
TXN_022,2023-09-10T13:25:00Z,300.00,Transfer to Sister,transfer,debit,ACC_12345,app,Lagos
TXN_023,2023-09-11T10:15:00Z,67.40,Ebeano Supermarket,groceries,debit,ACC_12345,card,Lagos
TXN_024,2023-09-11T16:50:00Z,45.80,MTN Airtime,utilities,debit,ACC_12345,ussd,Lagos
TXN_025,2023-09-12T09:30:00Z,185.90,Konga Online Store,shopping,debit,ACC_12345,app,Lagos
TXN_026,2023-09-12T14:45:00Z,38.25,Domino's Pizza,food,debit,ACC_12345,card,Lagos
TXN_027,2023-09-13T11:20:00Z,275.50,Lagos University Teaching Hospital,healthcare,debit,ACC_12345,card,Lagos
TXN_028,2023-09-13T17:10:00Z,52.75,Genesis Cinema Imax,entertainment,debit,ACC_12345,card,Lagos
TXN_029,2023-09-14T08:40:00Z,18.90,Pure Water Vendor,food,debit,ACC_12345,cash,Lagos
TXN_030,2023-09-14T15:30:00Z,145.60,Circle Mall Shopping,shopping,debit,ACC_12345,card,Lagos
TXN_031,2023-09-15T10:25:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_032,2023-09-15T12:45:00Z,89.30,Nigerian Breweries,entertainment,debit,ACC_12345,card,Lagos
TXN_033,2023-09-16T09:15:00Z,34.75,Coscharis Motors Service,transport,debit,ACC_12345,card,Lagos
